Name,Price
Birria Combo,28.07
Plato Birra,24.95
Birria by the Pound,38.99
Consomé Birra,3.12
Taco Birria,10.39
Taco Asado,10.39
Taco Carnitas,10.39
Taco Al Pastor,10.39
Taco Pollo,10.39
Taco Barbacoa,10.39
Taco Cabeza,10.39
Taco Chicharron,10.39
Taco Nopal,10.39
Taco Quesa Chivo,13.51
Birria Burrito,15.59
Asada Burrito,15.59
Carnitas Burrito,15.59
California Burrito,17.67
Surf & Turf Burrito,18.71
Azteca Burrito,17.67
Chile Relleno Burrito,17.67
Camarón Burrito,16.63
Vegetarian Burrito,12.47
Bean & Cheese Burrito,8.31
Molcajete Yucateco,47.83
Molcajete Azteca,42.63
Sope a la Carte,8.31
Tostada Jaiva,8.31
Chile Relleno a la Carte,6.23
Flautas a la Carte,6.50
Queso Chorizo Fundido,14.55
Quesadilla de Camarón,14.55
Quesadilla de Carne,13.51
Cheese Quesadilla,10.39
Gordita al Gusto,8.31
Tampiquena,24.95
Plato de Carne Asada,22.87
Pollo Asado,22.87
Mole Negro,22.87
Chile Relleno Grande,22.87
Tacos Dorados Plate,13.51
Plato Carnitas,18.71
Plato Chicharron,18.71
Seafood Fajitas,25.99
Fajitas,26.00
Menudo,16.63
Pozole,17.67
Caldo de Res,16.63
Caldo de Pollo,16.63
Caldo de Camarón,22.87
Caldo de Pescado,19.75
Tortilla Soup,16.64
Mar y Tierra,31.19
Delicias Del Mar,23.91
Siete Mares,27.03
Camarones a la Diabla,23.91
Camarones al Ajo,23.91
Camarones a la Plancha,23.91
Mojarra Frita,27.03
Pescado a la Plancha,22.87
Ensalada de Pollo,15.99
Shrimp Salad,16.99
Mexican Salad,13.99
Nopal Ensalada,8.84
House Salad,5.19
Sope Birria,8.31
Sope Asada,8.31
Sope Carnitas,6.23
Sope Pollo,8.31
Sope Pastor,8.31
Sope Barbacoa,8.31
Sopes Combo (2),12.47
Horchata,4.15
Jamaica,4.15
Tamarindo,4.15
Coca-Cola Mexicana,5.20
Jarrito,4.68
Jugo de Naranja,11.43
Café de Olla,3.64
Niño Quesadilla,12.50
Niño Taquitos,10.39
Niño Hamburger,9.35
Niño Chicken Fingers,10.39
Niño Cheese Enchilada,7.27